epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.788,1.27778,3.22568,1.57442,0.48079,0.23392,0.22207,0.13227,1.38053,2.46281,1.84578,0.000100928,0.000100928,0.000100928
2,418.022,1.24083,2.26237,1.53036,0.40905,0.33452,0.319,0.17966,1.42291,2.29145,1.88131,0.00019793,0.00019793,0.00019793
3,615.814,1.22719,1.98304,1.49677,0.34243,0.32423,0.32871,0.19674,1.39709,2.16596,1.83965,0.000290932,0.000290932,0.000290932
4,809.147,1.20887,1.79885,1.47441,0.45792,0.34268,0.34179,0.19367,1.41773,2.27484,1.86487,0.000285002,0.000285002,0.000285002
5,1003.17,1.19124,1.67758,1.45424,0.46274,0.36138,0.3584,0.20993,1.42739,2.19072,1.86805,0.000279002,0.000279002,0.000279002
6,1201.99,1.18369,1.61198,1.45214,0.44436,0.34353,0.35325,0.20846,1.43069,2.21036,1.87023,0.000273003,0.000273003,0.000273003
7,1395.36,1.15845,1.51716,1.43197,0.47752,0.36512,0.38725,0.23201,1.38132,2.05609,1.79464,0.000267004,0.000267004,0.000267004
8,1586.42,1.14578,1.47286,1.42607,0.45871,0.37502,0.40875,0.25224,1.37532,2.0713,1.80715,0.000261004,0.000261004,0.000261004
9,1779.8,1.14058,1.41777,1.41328,0.52662,0.37378,0.40668,0.24686,1.37683,2.04227,1.79136,0.000255005,0.000255005,0.000255005
10,1974.1,1.12746,1.37909,1.40348,0.48075,0.43384,0.42523,0.2528,1.39357,2.08266,1.8251,0.000249005,0.000249005,0.000249005
11,2167.54,1.12784,1.34567,1.40267,0.51698,0.42907,0.422,0.25927,1.35503,2.01786,1.78032,0.000243006,0.000243006,0.000243006
12,2363.44,1.09837,1.30523,1.38648,0.54577,0.40269,0.43696,0.26556,1.34402,2.01304,1.75979,0.000237007,0.000237007,0.000237007
13,2557.68,1.10509,1.29339,1.38808,0.49471,0.396,0.42188,0.25473,1.36325,2.05465,1.78563,0.000231007,0.000231007,0.000231007
14,2744.01,1.09588,1.27126,1.38516,0.54495,0.42992,0.47408,0.28657,1.36003,1.96944,1.76763,0.000225008,0.000225008,0.000225008
15,2931.29,1.08333,1.23202,1.37301,0.50702,0.43892,0.44886,0.27528,1.33237,2.06551,1.75106,0.000219008,0.000219008,0.000219008
16,3124.64,1.07689,1.21222,1.36723,0.53792,0.45538,0.47749,0.28729,1.3429,1.98856,1.75473,0.000213009,0.000213009,0.000213009
17,3351.7,1.07471,1.20539,1.36775,0.48669,0.50201,0.48263,0.29136,1.37865,2.00096,1.7783,0.00020701,0.00020701,0.00020701
18,3659.76,1.06448,1.15913,1.35637,0.56039,0.41742,0.47512,0.29425,1.34353,1.96883,1.73668,0.00020101,0.00020101,0.00020101
19,3987.28,1.05335,1.15888,1.35338,0.51509,0.42816,0.4829,0.30678,1.32756,2.00621,1.74131,0.000195011,0.000195011,0.000195011
20,4235.14,1.05773,1.13497,1.34555,0.52341,0.46084,0.50945,0.32076,1.33696,1.99239,1.7403,0.000189011,0.000189011,0.000189011
